Date,Name,Year,Letterboxd URI,Rating,decade,genre,liked
2024-10-28,MaXXXine,2024,https://boxd.it/CIM4,3.0,2020,"['Horror', 'Thriller']",no
2024-10-31,Tampopo,1985,https://boxd.it/1SZe,4.5,1980,['Comedy'],no
2024-11-02,Laura,1944,https://boxd.it/27Oq,4.5,1940,"['Mystery', 'Drama']",no
2024-11-03,The Night of the Hunter,1955,https://boxd.it/25HW,4.5,1950,"['Drama', 'Crime', 'Thriller', 'Horror']",no
2024-11-05,Bunny Lake Is Missing,1965,https://boxd.it/27NW,4.5,1960,"['Thriller', 'Mystery']",no
2024-11-11,Seconds,1966,https://boxd.it/1Dbe,4.0,1960,"['Horror', 'Science Fiction', 'Thriller']",no
2024-11-19,Werewolves Within,2021,https://boxd.it/u8fC,3.0,2020,"['Horror', 'Comedy']",no
2024-11-23,Alien: Romulus,2024,https://boxd.it/zGqO,3.5,2020,"['Science Fiction', 'Horror']",no
2024-11-27,The Pied Piper,1972,https://boxd.it/5Dz4,3.5,1970,"['Drama', 'Fantasy']",no
2024-11-30,Children of Men,2006,https://boxd.it/1Y2i,5.0,2000,"['Action', 'Drama', 'Science Fiction', 'Thriller']",no
2024-12-04,Smile 2,2024,https://boxd.it/FDA4,3.5,2020,"['Mystery', 'Horror']",no
2024-12-09,Vertigo,1958,https://boxd.it/2apI,4.0,1950,"['Thriller', 'Romance', 'Mystery']",no
2024-12-26,Dogville,2003,https://boxd.it/2a8W,4.5,2000,"['Thriller', 'Crime', 'Drama']",yes
2024-12-31,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/Blzk,4.0,2020,"['Romance', 'Comedy', 'Fantasy', 'Horror']",no
2025-01-02,Oddity,2024,https://boxd.it/K9pg,4.0,2020,"['Mystery', 'Horror']",no
2025-01-02,28 Days Later,2002,https://boxd.it/2aXU,4.0,2000,"['Science Fiction', 'Horror', 'Thriller']",no
2025-01-12,The Wailing,2016,https://boxd.it/9fLy,4.0,2010,"['Horror', 'Mystery']",no
2025-01-18,The Bride Wore Black,1968,https://boxd.it/24Ia,3.0,1960,"['Crime', 'Drama', 'Mystery']",no
2025-01-18,The Servant,1963,https://boxd.it/VAa,4.5,1960,['Drama'],no
2025-01-26,A Scanner Darkly,2006,https://boxd.it/25jK,4.0,2000,"['Animation', 'Science Fiction', 'Thriller']",no
2025-01-29,Nosferatu,2024,https://boxd.it/f5eG,4.0,2020,"['Fantasy', 'Horror']",no
2025-02-02,Bunnylovr,2025,https://boxd.it/QxM6,3.0,2020,['Drama'],no
2025-02-02,"Sorry, Baby",2025,https://boxd.it/JKNi,4.0,2020,"['Comedy', 'Drama']",no
2025-02-06,My Brother's Wedding,1983,https://boxd.it/3dBE,4.5,1980,['Drama'],no
2025-02-12,Audition,1999,https://boxd.it/1UHm,4.0,1990,"['Drama', 'Horror']",no
2025-02-17,Blade,1998,https://boxd.it/1a8A,4.0,1990,"['Action', 'Horror']",no
2025-02-17,The Triplets of Belleville,2003,https://boxd.it/1Y6Y,4.0,2000,"['Family', 'Animation', 'Comedy', 'Drama']",no
2025-02-17,The Girl with the Needle,2024,https://boxd.it/KQ3M,3.0,2020,"['Drama', 'History']",no
2025-02-18,Longlegs,2024,https://boxd.it/KzLM,3.0,2020,"['Thriller', 'Crime', 'Horror']",no
2025-02-18,Safe,1995,https://boxd.it/1gKU,3.5,1990,['Drama'],no
2025-02-19,Dark Waters,2019,https://boxd.it/kaYu,3.5,2010,"['Thriller', 'Drama']",no
2025-02-20,Johnny Corncob,1973,https://boxd.it/10eS,4.0,1970,"['Animation', 'Adventure', 'Fantasy']",no
2025-02-21,Robot Dreams,2023,https://boxd.it/vBZm,4.5,2020,"['Comedy', 'Science Fiction', 'Animation', 'Drama']",no
2025-02-23,Companion,2025,https://boxd.it/F04o,3.5,2020,"['Thriller', 'Science Fiction', 'Horror']",no
2025-03-01,Flow,2024,https://boxd.it/v1Ei,4.0,2020,"['Family', 'Fantasy', 'Animation', 'Adventure']",no
2025-03-02,Memoir of a Snail,2024,https://boxd.it/EgX8,3.5,2020,"['Comedy', 'Drama', 'Animation']",no
2025-03-08,Monster,2023,https://boxd.it/DJEM,4.0,2020,"['Thriller', 'Mystery', 'Drama']",no
2025-03-10,The Northman,2022,https://boxd.it/nK2s,4.0,2020,"['Adventure', 'Action', 'Fantasy']",no
2025-03-16,The Conversation,1974,https://boxd.it/2a38,4.0,1970,"['Drama', 'Crime', 'Mystery']",no
2025-04-07,The Game,1997,https://boxd.it/26vC,4.0,1990,"['Drama', 'Thriller', 'Mystery']",no
2025-04-24,Demonlover,2002,https://boxd.it/1xz0,4.0,2000,"['Thriller', 'Mystery', 'Drama']",no
2025-04-27,The Housemaid,1960,https://boxd.it/WJs,4.0,1960,"['Drama', 'Crime']",no
2025-04-29,Sinners,2025,https://boxd.it/KQMM,4.5,2020,"['Thriller', 'Action', 'Horror']",no
2025-05-10,The Ugly Stepsister,2025,https://boxd.it/MZBM,4.0,2020,"['Fantasy', 'Drama', 'Comedy', 'Horror']",yes
2025-05-13,To Sleep with Anger,1990,https://boxd.it/3iqG,4.5,1990,['Drama'],no
2025-05-15,The Company of Wolves,1984,https://boxd.it/1SO6,3.0,1980,"['Horror', 'Fantasy']",no
2025-05-20,The Long Goodbye,1973,https://boxd.it/281O,4.0,1970,"['Drama', 'Crime', 'Mystery']",no
2025-05-22,Sorcerer,1977,https://boxd.it/14J6,4.5,1970,"['Drama', 'Thriller', 'Adventure']",no
