Date,Name,Year,Letterboxd URI,Rating,decade,genres,liked,tmdb_id,runtime,lang,keywords
2024-09-21,Prometheus,2012,https://boxd.it/2s9e,2.5,2010,"['Science Fiction', 'Adventure', 'Mystery']",no,70981,124,en,"['android', 'alien', 'space', 'creature', 'spin off', 'creation', 'emergency surgery', 'archaeological dig', 'stasis', 'god complex', 'cave drawing', 'prometheus', 'genetic mutation', 'origins of life', 'lovecraftian', '2090s', 'objective']"
2024-09-21,Alien: Covenant,2017,https://boxd.it/49UY,3.0,2010,"['Horror', 'Science Fiction', 'Thriller']",no,126889,122,en,"['android', 'spacecraft', 'experiment', 'space travel', 'infection', 'engineer', 'alien life-form', 'sequel', 'alien', 'space', 'creature', 'robot', 'scientist', 'genocide', 'creation', 'paranoid', 'acid', 'alien technology', 'genetic mutation', 'suspenseful', 'tense']"
2024-09-22,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/1tRY,4.0,1970,"['Drama', 'Thriller']",no,26451,111,it,"['police brutality', 'rome, italy', 'black humor', 'social satire', 'sexual sadism', 'masochist', 'crime investigation', 'political repression', 'power abuse', 'kafkaesque']"
2024-09-22,The Host,2006,https://boxd.it/28ZY,4.0,2000,"['Horror', 'Drama', 'Science Fiction']",no,1255,120,ko,"['daughter', 'pollution', 'monster', 'river', 'bravery', 'sewerage', 'formaldehyde', 'snack bar', 'archer', 'family', 'asian origins', 'seoul, south korea', 'han river', 'amused', 'farcical', 'frightened']"
2024-09-25,I Saw the Devil,2010,https://boxd.it/FaK,3.5,2010,"['Thriller', 'Horror']",no,49797,144,ko,"['psychopath', 'cemetery', 'police chief', 'secret agent', 'revenge', 'murder', 'serial killer', 'mercilessness', 'severed head', 'brutality', 'cannibal', 'blunt', 'tracking device', 'grim', 'south korea', 'sadistic killer']"
2024-10-02,Serial Mom,1994,https://boxd.it/1Tty,4.5,1990,"['Comedy', 'Crime']",no,11592,94,en,"['court', 'harassment', 'baltimore, usa', 'dark comedy', 'housewife', 'satire', 'protection', 'motherly love', 'hit-and-run', 'evil mother', 'suburbia', 'murder', 'serial killer', 'infamy', 'perfectionist', 'perfection', 'obscene telephone call', 'protective mother']"
2024-10-05,Cronos,1992,https://boxd.it/1TjS,3.0,1990,"['Drama', 'Horror', 'Thriller']",no,11655,94,es,"['immortality', 'scarab', 'invention', 'tycoon', 'aging', 'industrialist', 'antique dealer']"
2024-10-07,Funny Games,1997,https://boxd.it/1WKM,5.0,1990,"['Drama', 'Horror', 'Thriller']",no,10234,109,de,"['lake', 'sadism', 'psychopath', 'hostage-taking', 'remote control', 'sociopath', 'breaking the fourth wall', 'serial killer', 'psychological thriller', 'family holiday', 'golf club', 'torment', 'voyeurism', 'grim', 'wealthy family', 'lake house', 'children in danger', 'psychological horror', 'sardonic']"
2024-10-08,Scream 4,2011,https://boxd.it/Zmc,4.0,2010,"['Horror', 'Mystery']",no,41446,111,en,"['rescue', 'mask', 'sheriff', 'jealousy', 'dark comedy', 'victim', 'knife', 'self-inflicted injury', 'sequel', 'sociopath', 'murder', 'house party', 'teen movie', 'serial killer', 'author', 'hospital', 'slasher', 'home invasion', 'self-referential', 'cousin relationship', 'phone call', 'satirical', 'millennials', 'publicist', 'fame-seeking', 'new generation', 'return to hometown', 'masked killer', 'absurd', 'remakes', 'amused', 'teen scream']"
2024-10-09,The Graduate,1967,https://boxd.it/18Im,3.5,1960,"['Drama', 'Romance', 'Comedy']",no,37247,106,en,"['love triangle', 'seduction', 'college', 'older woman seduces younger guy', 'romance', 'coming of age', 'los angeles, california', 'wedding', 'older woman younger man relationship', 'graduate', 'rape accusation', ""mother seduces daughter's fiancee"", 'audacious', 'bold', 'defiant', 'inflammatory']"
